date,week_num,product_family,sku,region,warehouse,demand_units
2024-02-26,61,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,73
2024-03-04,62,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,70
2024-03-11,63,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,78
2024-03-18,64,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,95
2024-03-25,65,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,71
2024-04-01,66,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,67
2024-04-08,67,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,67
2024-04-15,68,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,69
2024-04-22,69,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,78
2024-04-29,70,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,84
2024-05-06,71,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,84
2024-05-13,72,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,92
2024-05-20,73,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,82
2024-05-27,74,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,102
2024-06-03,75,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,79
2024-06-10,76,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,124
2024-06-17,77,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,91
2024-06-24,78,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,73
2024-07-01,79,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,71
2024-07-08,80,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,91
2024-07-15,81,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,82
2024-07-22,82,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,95
2024-07-29,83,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,92
2024-08-05,84,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,85
2024-08-12,85,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,76
2024-08-19,86,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,69
2024-08-26,87,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,80
2024-09-02,88,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,96
2024-09-09,89,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,86
2024-09-16,90,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,68
2024-09-23,91,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,82
2024-09-30,92,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,82
2024-10-07,93,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,65
2024-10-14,94,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,73
2024-10-21,95,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,69
2024-10-28,96,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,55
2024-11-04,97,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,65
2024-11-11,98,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,64
2024-11-18,99,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,66
2024-11-25,100,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,63
2024-12-02,101,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,42
2024-12-09,102,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,44
2024-12-16,103,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,54
2024-12-23,104,Wireless Mouse,WM-PRO-BLK,EMEA,Amsterdam-NL,53
2023-01-02,1,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,53
2023-01-09,2,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,89
2023-01-16,3,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,56
2023-01-23,4,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,63
2023-01-30,5,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,63
2023-02-06,6,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,63
2023-02-13,7,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,57
2023-02-20,8,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,71
2023-02-27,9,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,59
2023-03-06,10,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,66
2023-03-13,11,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,66
2023-03-20,12,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,75
2023-03-27,13,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,108
2023-04-03,14,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,59
2023-04-10,15,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,88
2023-04-17,16,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,64
2023-04-24,17,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,77
2023-05-01,18,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,98
2023-05-08,19,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,85
2023-05-15,20,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,72
2023-05-22,21,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,76
2023-05-29,22,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,94
2023-06-05,23,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,76
2023-06-12,24,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,89
2023-06-19,25,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,87
2023-06-26,26,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,79
2023-07-03,27,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,120
2023-07-10,28,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,96
2023-07-17,29,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,65
2023-07-24,30,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,91
2023-07-31,31,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,81
2023-08-07,32,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,102
2023-08-14,33,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,80
2023-08-21,34,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,88
2023-08-28,35,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,96
2023-09-04,36,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,100
2023-09-11,37,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,72
2023-09-18,38,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,81
2023-09-25,39,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,77
2023-10-02,40,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,73
2023-10-09,41,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,101
2023-10-16,42,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,79
2023-10-23,43,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,59
2023-10-30,44,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,78
2023-11-06,45,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,89
2023-11-13,46,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,72
2023-11-20,47,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,47
2023-11-27,48,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,52
2023-12-04,49,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,65
2023-12-11,50,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,47
2023-12-18,51,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,55
2023-12-25,52,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,58
2024-01-01,53,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,45
2024-01-08,54,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,52
2024-01-15,55,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,33
2024-01-22,56,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,48
2024-01-29,57,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,56
2024-02-05,58,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,50
2024-02-12,59,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,81
2024-02-19,60,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,53
2024-02-26,61,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,65
2024-03-04,62,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,74
2024-03-11,63,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,93
2024-03-18,64,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,63
2024-03-25,65,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,95
2024-04-01,66,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,82
2024-04-08,67,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,72
2024-04-15,68,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,91
2024-04-22,69,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,89
2024-04-29,70,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,80
2024-05-06,71,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,89
2024-05-13,72,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,84
2024-05-20,73,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,90
2024-05-27,74,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,99
2024-06-03,75,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,114
2024-06-10,76,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,75
2024-06-17,77,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,125
2024-06-24,78,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,68
2024-07-01,79,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,90
2024-07-08,80,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,101
2024-07-15,81,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,97
2024-07-22,82,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,85
2024-07-29,83,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,91
2024-08-05,84,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,87
2024-08-12,85,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,86
2024-08-19,86,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,107
2024-08-26,87,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,98
2024-09-02,88,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,83
2024-09-09,89,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,104
2024-09-16,90,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,93
2024-09-23,91,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,98
2024-09-30,92,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,92
2024-10-07,93,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,72
2024-10-14,94,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,72
2024-10-21,95,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,83
2024-10-28,96,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,78
2024-11-04,97,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,67
2024-11-11,98,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,66
2024-11-18,99,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,75
2024-11-25,100,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,54
2024-12-02,101,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,62
2024-12-09,102,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,54
2024-12-16,103,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,52
2024-12-23,104,Wireless Mouse,WM-PRO-BLK,APAC,Shanghai-CN,63
2023-01-02,1,Wireless Mouse,WM-PRO-BLK,APAC,Tokyo-JP,37
2023-01-09,2,Wireless Mouse,WM-PRO-BLK,APAC,Tokyo-JP,37
